hpRemaining: 30.4 (13.133502536981096)
monstersKilled: 2.0 (1.5634719199411433)
treasuresCollected: 1.0 (0.6666666666666666)
potionsDrunk: 1.2 (1.1352924243950933)
actionsTaken: 287.5 (39.528470752104745)
tilesExplored: 25.6 (8.566082989195108)
timesCompleted: 0
timesDied: 1
timesUncompleted: 9

hpRemaining;40.0;38.0;0.0;34.0;38.0;40.0;14.0;32.0;31.0;37.0;
monstersKilled;0.0;1.0;4.0;3.0;1.0;0.0;4.0;3.0;3.0;1.0;
treasuresCollected;0.0;1.0;2.0;1.0;1.0;0.0;2.0;1.0;1.0;1.0;
potionsDrunk;0.0;1.0;0.0;3.0;1.0;0.0;1.0;2.0;3.0;1.0;
actionsTaken;300.0;300.0;175.0;300.0;300.0;300.0;300.0;300.0;300.0;300.0;
tilesExplored;12.0;29.0;32.0;32.0;21.0;12.0;38.0;30.0;26.0;24.0;

