Agent,TimesCompleted,AvgHP,AvgMonsters,AvgTreasures,AvgPotions,AvgActions,AvgTiles
QLearning,10,9.4,5.2,5.4,2.0,58.0,48.3
UCT,9,16.4,3.4,1.9,1.6,101.8,32.5
