Agent,TimesCompleted,AvgHP,AvgMonsters,AvgTreasures,AvgPotions,AvgActions,AvgTiles
QLearning,10,21.0,2.0,4.0,0.0,22.0,19.5
UCT,10,21.5,2.2,2.7,0.2,47.6,23.5
