hpRemaining: 8.5 (3.5978388574871505)
monstersKilled: 3.3 (0.48304589153964794)
treasuresCollected: 4.0 (0.0)
potionsDrunk: 0.0 (0.0)
actionsTaken: 29.6 (0.9660917830792959)
tilesExplored: 23.3 (0.48304589153964794)
timesCompleted: 10
timesDied: 0
timesUncompleted: 0

hpRemaining;7.0;13.0;5.0;7.0;12.0;13.0;10.0;10.0;3.0;5.0;
monstersKilled;3.0;4.0;3.0;4.0;3.0;3.0;3.0;3.0;4.0;3.0;
treasuresCollected;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;
potionsDrunk;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
actionsTaken;29.0;31.0;29.0;31.0;29.0;29.0;29.0;29.0;31.0;29.0;
tilesExplored;23.0;24.0;23.0;24.0;23.0;23.0;23.0;23.0;24.0;23.0;

