Agent,TimesCompleted,AvgHP,AvgMonsters,AvgTreasures,AvgPotions,AvgActions,AvgTiles
QLearning,2,12.5,5.6,6.5,2.4,264.6,53.7
UCT,3,26.0,3.7,3.6,2.2,258.0,38.9
