hpRemaining: 2.1 (2.8460498941515415)
monstersKilled: 5.1 (0.5676462121975466)
treasuresCollected: 2.6 (0.6992058987801011)
potionsDrunk: 1.1 (0.31622776601683794)
actionsTaken: 29.0 (7.007932013876213)
tilesExplored: 24.0 (4.9216076867444665)
timesCompleted: 4
timesDied: 6
timesUncompleted: 0

hpRemaining;0.0;0.0;4.0;7.0;6.0;0.0;0.0;0.0;4.0;0.0;
monstersKilled;6.0;5.0;5.0;4.0;5.0;5.0;5.0;5.0;5.0;6.0;
treasuresCollected;2.0;2.0;3.0;4.0;3.0;2.0;2.0;2.0;3.0;3.0;
potionsDrunk;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;
actionsTaken;22.0;24.0;30.0;40.0;30.0;24.0;24.0;24.0;30.0;42.0;
tilesExplored;19.0;20.0;26.0;33.0;26.0;20.0;20.0;20.0;26.0;30.0;

